"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1131",642397,"Soto, Gregory","1131","100.0","0.198","0.121","0.258","0.319","0.285","0.291","0.196","46","232","88.1","10.2","2373","94.5","95.15","160","511","620","0.7","6.77","108","152","117","148","298","327","299"
"1129",643511,"Rogers, Tyler","1129","100.0","0.243","0.085","0.279","0.328","0.269","0.258","0.231","74","305","85.0","4.5","2024","78.0","74.59","95","576","553","-3.4","5.90","110","149","110","148","296","320","293"
"1124",605280,"Holmes, Clay","1124","100.0","0.206","0.078","0.274","0.284","0.262","0.262","0.194","53","257","86.6","-6.9","2343","92.0","91.50","129","470","654","-0.5","6.11","110","151","118","148","298","320","288"
"1122",656849,"Peterson, David","1122","100.0","0.255","0.199","0.310","0.454","0.345","0.363","0.274","64","251","88.9","8.8","2088","88.4","89.65","132","525","597","1.3","7.10","111","152","111","149","300","326","297"
"1118",518617,"Diekman, Jake","1118","100.0","0.211","0.179","0.282","0.390","0.312","0.321","0.216","47","223","88.9","16.2","2377","91.4","88.97","172","490","628","-2.4","6.35","111","150","120","150","301","326","302"
"1117",543507,"May, Trevor","1117","100.0","0.227","0.174","0.302","0.401","0.297","0.261","0.190","55","242","87.9","16.5","2303","92.0","93.14","186","570","547","1.1","6.99","113","155","115","148","302","326","299"
"1109",596133,"Weaver, Luke","1109","100.0","0.233","0.237","0.266","0.470","0.317","0.325","0.249","58","249","89.3","13.2","2232","90.5","89.75","134","569","540","-0.8","5.95","112","154","118","151","303","330","302"
"1106",641394,"Brentz, Jake","1106","100.0","0.197","0.148","0.255","0.345","0.297","0.321","0.218","45","229","88.2","6.6","2171","92.9","92.50","145","483","623","-0.4","6.43","107","156","116","144","299","322","299"
"1106",573204,"Thielbar, Caleb","1106","100.0","0.232","0.169","0.303","0.401","0.300","0.303","0.220","55","237","86.7","19.3","2345","84.3","84.11","144","548","558","-0.2","6.27","105","153","115","147","299","329","294"
"1105",669145,"Zimmermann, Bruce","1105","100.0","0.291","0.202","0.321","0.492","0.359","0.377","0.292","75","258","90.4","13.4","2296","87.4","86.57","131","512","593","-0.8","6.22","108","153","121","149","302","324","296"
"1104",623149,"Sewald, Paul","1104","100.0","0.176","0.163","0.256","0.339","0.250","0.261","0.181","42","239","87.9","20.9","2331","87.9","87.85","201","551","553","0.0","6.42","114","155","115","149","294","320","294"
"1102",517008,"Colomé, Alex","1102","100.0","0.264","0.147","0.306","0.411","0.319","0.329","0.251","68","258","90.0","4.4","2134","90.7","90.63","146","542","560","-0.1","6.19","106","156","115","149","299","330","295"
"1098",641941,"Pagán, Emilio","1098","100.0","0.231","0.281","0.253","0.512","0.336","0.328","0.227","56","242","90.5","26.5","2445","91.6","92.15","170","576","522","0.5","6.64","115","154","138","144","299","323","313"
"1096",622251,"Staumont, Josh","1096","100.0","0.183","0.111","0.236","0.294","0.254","0.302","0.219","43","235","91.7","18.0","2413","91.3","91.76","127","477","619","0.5","6.62","108","158","117","146","300","323","300"
"1095",595014,"Treinen, Blake","1095","100.0","0.179","0.074","0.244","0.253","0.233","0.240","0.187","46","257","83.1","10.0","2384","92.3","90.62","155","536","559","-1.7","5.54","113","156","115","150","300","317","293"
"1090",592390,"Hembree, Heath","1090","100.0","0.207","0.212","0.270","0.419","0.306","0.271","0.184","45","217","89.2","23.4","2647","91.1","91.41","146","527","563","0.3","6.62","114","153","119","148","295","318","291"
"1086",500610,"Guerra, Deolis","1086","100.0","0.218","0.140","0.259","0.358","0.283","0.273","0.202","53","243","85.4","21.6","2038","85.7","86.92","149","524","562","1.2","7.16","113","151","121","151","298","327","300"
"1086",670912,"Oviedo, Johan","1086","100.0","0.251","0.160","0.286","0.412","0.339","0.362","0.269","61","243","87.0","6.1","2299","89.6","90.83","126","487","599","1.2","7.10","115","152","115","148","296","318","298"
"1085",642528,"Loáisiga, Jonathan","1085","100.0","0.215","0.065","0.279","0.281","0.245","0.225","0.184","56","260","83.3","1.4","2339","94.2","94.42","160","575","510","0.2","6.57","108","153","116","146","298","325","289"
"1082",433589,"Petit, Yusmeiro","1082","100.0","0.233","0.162","0.229","0.395","0.280","0.317","0.262","69","296","85.5","19.4","2052","84.0","84.96","118","561","520","1.0","7.08","110","150","119","151","301","327","300"
"1080",656288,"Canning, Griffin","1080","100.0","0.264","0.236","0.298","0.500","0.358","0.328","0.246","65","246","89.6","16.8","2289","89.9","88.35","162","535","541","-1.5","5.81","114","158","119","152","301","325","301"
"1079",519293,"Smith, Will","1079","100.0","0.198","0.206","0.250","0.403","0.297","0.280","0.194","49","248","88.7","20.6","2255","86.7","86.70","170","515","564","0.0","6.29","107","150","121","146","305","322","292"
"1079",622250,"Sborz, Josh","1079","100.0","0.234","0.149","0.302","0.383","0.310","0.299","0.222","52","222","90.6","15.4","2227","92.0","91.15","176","526","553","-0.8","5.91","112","153","124","146","300","326","295"
"1076",571670,"Floro, Dylan","1076","100.0","0.217","0.070","0.282","0.287","0.255","0.289","0.232","53","244","85.9","9.1","2092","91.1","90.82","120","523","553","-0.3","6.32","109","149","114","148","300","320","291"
"1076",543272,"Hand, Brad","1076","100.0","0.235","0.172","0.272","0.408","0.310","0.330","0.248","56","238","86.9","13.7","2323","87.5","86.12","95","460","616","-1.4","5.58","108","152","115","147","302","320","295"
"1074",502202,"Boxberger, Brad","1074","100.0","0.192","0.140","0.257","0.332","0.274","0.283","0.199","44","229","86.7","18.1","2181","90.0","84.97","157","492","582","-5.0","5.61","110","154","117","147","300","324","299"
"1071",445276,"Jansen, Kenley","1071","100.0","0.153","0.081","0.216","0.233","0.229","0.259","0.178","36","236","83.3","20.0","2553","91.3","91.92","178","537","534","0.6","7.15","114","157","113","150","299","315","291"
"1071",642092,"Smith, Riley","1071","100.0","0.308","0.215","0.323","0.523","0.368","0.348","0.287","86","279","88.6","9.2","2190","89.0","88.98","69","507","563","0.0","6.36","110","152","118","150","302","329","301"
"1070",642121,"Sulser, Cole","1070","100.0","0.207","0.112","0.277","0.319","0.264","0.272","0.206","48","232","87.8","14.5","2055","88.9","89.30","164","542","528","0.4","6.69","110","154","118","148","296","322","296"
"1070",468504,"Chacín, Jhoulys","1070","100.0","0.222","0.184","0.243","0.406","0.306","0.312","0.239","53","239","86.0","9.1","2323","87.5","86.92","109","492","578","-0.6","5.92","110","151","121","146","299","329","303"
"1067",542585,"Cisnero, José","1067","100.0","0.226","0.119","0.281","0.345","0.300","0.312","0.225","51","226","85.9","12.8","2370","93.9","93.57","113","478","589","-0.3","6.06","108","154","118","148","300","326","297"
"1065",554431,"Matzek, Tyler","1065","100.0","0.182","0.095","0.262","0.277","0.261","0.266","0.188","40","220","87.7","13.2","2570","92.6","92.56","155","520","545","0.0","6.33","107","151","122","147","300","319","293"
"1064",533167,"Shoemaker, Matt","1064","100.0","0.297","0.240","0.296","0.537","0.380","0.374","0.281","73","246","87.9","11.8","1834","87.0","86.43","117","526","538","-0.6","6.10","106","156","115","149","301","333","297"
"1063",429722,"Santana, Ervin","1063","100.0","0.259","0.187","0.292","0.446","0.328","0.365","0.273","65","251","89.6","14.4","2234","88.5","88.27","126","510","553","-0.2","6.01","107","156","116","144","300","324","300"
"1061",670950,"Richards, Trevor","1061","100.0","0.175","0.189","0.203","0.364","0.264","0.298","0.214","40","228","89.3","22.0","2250","89.1","88.05","164","500","561","-1.0","6.48","109","156","122","147","298","321","297"
"1059",628452,"Iglesias, Raisel","1059","100.0","0.207","0.160","0.290","0.367","0.261","0.243","0.189","53","256","85.6","13.1","2324","91.2","89.68","232","567","492","-1.5","6.05","114","157","118","149","303","326","298"
"1057",661403,"Clase, Emmanuel","1057","100.0","0.195","0.046","0.263","0.240","0.212","0.226","0.200","51","262","86.1","-0.2","2570","97.7","98.25","192","581","476","0.6","6.44","114","151","117","149","291","316","291"
"1055",592426,"Jackson, Luke","1055","100.0","0.198","0.119","0.255","0.317","0.270","0.308","0.226","45","227","89.7","5.6","2293","90.1","90.66","153","502","553","0.6","6.67","108","151","124","146","302","321","293"
"1053",608648,"Duffey, Tyler","1053","100.0","0.216","0.095","0.278","0.311","0.278","0.299","0.226","48","222","90.5","10.5","2377","87.3","87.23","108","457","596","-0.1","6.29","105","155","113","148","299","329","294"
"1053",453343,"Melancon, Mark","1053","100.0","0.228","0.089","0.284","0.316","0.270","0.314","0.260","54","237","86.4","-0.4","2374","88.6","88.27","100","480","573","-0.3","6.26","115","151","124","145","299","321","308"
"1049",676051,"Heuer, Codi","1049","100.0","0.261","0.145","0.307","0.406","0.313","0.304","0.250","65","249","86.0","10.9","2279","92.1","93.52","152","545","504","1.4","7.15","108","150","115","148","299","320","295"
"1045",621237,"Alvarado, José","1045","100.0","0.213","0.112","0.298","0.325","0.322","0.310","0.199","42","197","87.5","1.1","2115","98.1","98.97","139","419","626","0.9","6.83","106","149","112","145","296","320","290"
"1045",572955,"Johnson, Pierce","1045","100.0","0.220","0.150","0.308","0.369","0.292","0.283","0.203","47","214","88.7","17.3","2673","87.9","86.85","141","469","576","-1.1","5.75","116","153","135","145","298","322","313"
"1043",489265,"Romo, Sergio","1043","100.0","0.238","0.166","0.281","0.404","0.305","0.285","0.215","56","235","84.9","17.4","2519","80.2","80.09","133","454","589","-0.1","6.45","112","150","120","150","300","328","300"
"1042",622253,"Tate, Dillon","1042","100.0","0.245","0.149","0.271","0.394","0.310","0.309","0.235","61","249","87.2","0.4","2005","91.6","91.46","105","478","564","-0.1","6.22","108","151","117","146","297","320","293"
"1037",614179,"Ruiz, José","1037","100.0","0.210","0.156","0.247","0.366","0.281","0.317","0.240","51","243","91.6","14.4","2335","92.5","92.09","121","505","532","-0.4","6.01","112","151","117","149","298","319","296"
"1032",675916,"Karinchak, James","1032","100.0","0.176","0.176","0.228","0.352","0.287","0.289","0.183","35","199","89.7","17.9","2304","91.8","91.39","141","451","581","-0.4","5.98","114","154","117","149","292","319","294"
"1032",656945,"Scott, Tanner","1032","100.0","0.234","0.117","0.318","0.351","0.321","0.326","0.228","48","205","89.6","5.9","2621","92.5","92.28","167","454","578","-0.2","6.21","107","151","117","148","299","323","295"
"1031",605447,"Romano, Jordan","1031","100.0","0.181","0.128","0.254","0.310","0.257","0.248","0.170","41","226","88.7","11.7","2329","94.2","95.65","163","513","518","1.5","7.16","110","154","119","149","295","320","290"
"1022",643256,"Cimber, Adam","1022","100.0","0.234","0.077","0.281","0.310","0.263","0.281","0.238","61","261","87.9","6.4","2250","84.3","83.34","104","522","500","-1.0","6.34","107","151","121","146","295","315","290"
"1021",608723,"Voth, Austin","1021","100.0","0.266","0.201","0.320","0.467","0.345","0.369","0.284","57","214","87.2","13.9","2534","89.5","89.06","124","494","527","-0.4","6.17","110","152","120","145","302","323","294"
"1018",621295,"Wittgren, Nick","1018","100.0","0.261","0.226","0.294","0.487","0.331","0.351","0.283","61","234","91.2","8.3","2044","89.6","90.40","124","472","546","0.8","6.80","112","153","119","149","293","317","292"
"1017",544727,"Familia, Jeurys","1017","100.0","0.248","0.187","0.318","0.435","0.330","0.295","0.225","57","230","87.6","4.0","2237","94.7","93.87","136","486","531","-0.8","5.74","114","155","114","148","299","323","298"
"1014",592644,"Plutko, Adam","1014","100.0","0.295","0.318","0.294","0.614","0.408","0.382","0.278","65","220","91.0","22.8","2364","88.4","88.03","117","483","531","-0.4","6.09","109","152","118","149","300","321","295"
"1009",518633,"Duffy, Danny","1009","100.0","0.226","0.130","0.289","0.357","0.284","0.315","0.245","52","230","89.5","17.7","2333","88.7","89.46","143","491","518","0.8","6.74","107","159","117","144","298","321","295"
"1009",650633,"King, Michael","1009","100.0","0.236","0.120","0.291","0.355","0.298","0.333","0.255","57","242","88.4","7.4","2333","90.5","90.04","118","473","536","-0.5","6.23","110","153","118","148","297","325","287"
